station,category,location_x,location_y,year,crime_count
Badplaas,All theft not mentioned elsewhere,30.56857,-25.95836,2005,124
Badplaas,Driving under the influence of alcohol or drugs,30.56857,-25.95836,2005,11
Badplaas,Robbery of cash in transit,30.56857,-25.95836,2005,1
Badplaas,Malicious damage to property,30.56857,-25.95836,2005,26
Badplaas,Robbery at non-residential premises,30.56857,-25.95836,2005,0
Badplaas,Stock-theft,30.56857,-25.95836,2005,36
Badplaas,Common assault,30.56857,-25.95836,2005,101
Badplaas,Robbery at residential premises,30.56857,-25.95836,2005,0
Badplaas,Shoplifting,30.56857,-25.95836,2005,4
Badplaas,Sexual Offences,30.56857,-25.95836,2005,12
Badplaas,Burglary at residential premises,30.56857,-25.95836,2005,67
Badplaas,Commercial crime,30.56857,-25.95836,2005,5
Badplaas,Robbery with aggravating circumstances,30.56857,-25.95836,2005,5
Badplaas,Illegal possession of firearms and ammunition,30.56857,-25.95836,2005,5
Badplaas,Murder,30.56857,-25.95836,2005,5
Badplaas,Theft of motor vehicle and motorcycle,30.56857,-25.95836,2005,5
Badplaas,Bank robbery,30.56857,-25.95836,2005,0
Badplaas,Drug-related crime,30.56857,-25.95836,2005,13
Badplaas,Truck hijacking,30.56857,-25.95836,2005,0
Badplaas,Sexual offences as result of police action,30.56857,-25.95836,2005,0
Badplaas,Arson,30.56857,-25.95836,2005,0
Badplaas,Assault with the intent to inflict grievous bodily harm,30.56857,-25.95836,2005,51
Badplaas,Carjacking,30.56857,-25.95836,2005,0
Badplaas,Attempted murder,30.56857,-25.95836,2005,10
Badplaas,Common robbery,30.56857,-25.95836,2005,15
Balfour Tvl,Commercial crime,28.58695,-26.66282,2005,14
Balfour Tvl,Common assault,28.58695,-26.66282,2005,120
Balfour Tvl,Sexual Offences,28.58695,-26.66282,2005,42
Balfour Tvl,Sexual offences as result of police action,28.58695,-26.66282,2005,0
Balfour Tvl,All theft not mentioned elsewhere,28.58695,-26.66282,2005,251
Balfour Tvl,Driving under the influence of alcohol or drugs,28.58695,-26.66282,2005,19
Balfour Tvl,Drug-related crime,28.58695,-26.66282,2005,21
Balfour Tvl,Malicious damage to property,28.58695,-26.66282,2005,73
Balfour Tvl,Theft out of or from motor vehicle,28.58695,-26.66282,2005,31
Balfour Tvl,Robbery with aggravating circumstances,28.58695,-26.66282,2005,24
Balfour Tvl,Assault with the intent to inflict grievous bodily harm,28.58695,-26.66282,2005,154
Balfour Tvl,Burglary at residential premises,28.58695,-26.66282,2005,155
Balfour Tvl,Burglary at non-residential premises,28.58695,-26.66282,2005,16
Balfour Tvl,Common robbery,28.58695,-26.66282,2005,30
Balfour Tvl,Truck hijacking,28.58695,-26.66282,2005,2
Balfour Tvl,Robbery at non-residential premises,28.58695,-26.66282,2005,0
Balfour Tvl,Stock-theft,28.58695,-26.66282,2005,6
Balfour Tvl,Attempted murder,28.58695,-26.66282,2005,6
Balfour Tvl,Robbery of cash in transit,28.58695,-26.66282,2005,0
Balfour Tvl,Illegal possession of firearms and ammunition,28.58695,-26.66282,2005,4
Balfour Tvl,Theft of motor vehicle and motorcycle,28.58695,-26.66282,2005,11
Balfour Tvl,Bank robbery,28.58695,-26.66282,2005,0
Balfour Tvl,Murder,28.58695,-26.66282,2005,9
Balfour Tvl,Carjacking,28.58695,-26.66282,2005,1
Balfour Tvl,Robbery at residential premises,28.58695,-26.66282,2005,0
Balfour Tvl,Arson,28.58695,-26.66282,2005,3
